Date,Close,Open,High,Low,Vol.,Change %
16/05/2024,909.31,906.67,912.59,904.9,4.89B,0.0088
17/05/2024,919.51,909.91,925.64,909.03,7.43B,0.0112
20/05/2024,908.54,922.17,927.98,905.39,5.28B,-0.0119
21/05/2024,891.58,906.82,909.83,890.69,3.78B,-0.0187
22/05/2024,895.84,894.02,900.51,891.3,4.64B,0.0048
27/05/2024,889.79,895,902.09,889.25,9.29B,-0.0068
28/05/2024,900.82,900.23,913.75,898.29,7.07B,0.0124
29/05/2024,886.18,904.88,905.8,884.85,5.88B,-0.0162
30/05/2024,874.12,883.01,886.42,863.96,7.54B,-0.0136
31/05/2024,871.42,882.88,887.95,871.42,15.38B,-0.0031
3/6/2024,888.28,883.75,891.5,876.08,5.12B,0.0193
4/6/2024,895.8,895.73,905.01,893.65,6.44B,0.0085
5/6/2024,881.7,899.3,900.24,879.63,5.49B,-0.0157
6/6/2024,892.1,890.95,896.91,884.97,5.45B,0.0118
7/6/2024,883.93,894.69,895.4,882.94,3.90B,-0.0092
10/6/2024,884.84,886.72,887.25,879.57,14.04B,0.001
11/6/2024,867.78,880.6,882.62,867.78,7.44B,-0.0193
12/6/2024,862.86,868.48,869.91,861.05,6.60B,-0.0057
13/06/2024,858.63,872.16,872.29,858.39,7.79B,-0.0049
14/06/2024,845.5,858.27,860.47,842.11,5.69B,-0.0153
19/06/2024,839.62,846.25,852.04,838.17,11.37B,-0.007
20/06/2024,854.78,844.74,854.78,841.32,5.34B,0.0181
21/06/2024,867.2,858.72,875.27,857.21,11.11B,0.0145
24/06/2024,864.4,866.7,871.3,864,3.44B,-0.0032
25/06/2024,861.67,861.21,862.89,853.74,3.88B,-0.0032
26/06/2024,863.29,862.18,870.19,861.47,3.51B,0.0019
27/06/2024,874.39,868.23,875.84,865.12,2.61B,0.0129
28/06/2024,887.73,879.33,893.08,878.82,3.66B,0.0152
1/7/2024,896.66,890.24,897.02,888.97,2.49B,0.0101
2/7/2024,892.72,898.85,902.03,889.9,2.43B,-0.0044
3/7/2024,897.6,898.49,898.91,889.97,2.17B,0.0055
4/7/2024,899.85,900.56,909.05,899.34,2.63B,0.0025
5/7/2024,906.64,905.47,911,901.68,1.82B,0.0075
8/7/2024,904.33,908.46,908.66,899.45,2.60B,-0.0025
9/7/2024,909.42,904.96,915.03,902.56,2.25B,0.0056
10/7/2024,912.33,912.33,916.23,910.24,9.70B,0.0032
11/7/2024,915.36,915.15,919.23,912.18,3.04B,0.0033
12/7/2024,920.38,922.25,925.61,917.61,2.05B,0.0055
15/07/2024,912.58,922.07,922.58,908.44,1.74B,-0.0085
16/07/2024,904.55,914.72,915.84,903.16,1.59B,-0.0088
17/07/2024,910.07,911.93,913.09,905.66,10.94B,0.0061
18/07/2024,922.78,911.56,923.69,910.6,4.08B,0.014
19/07/2024,919.53,919.31,920.21,912.32,3.40B,-0.0035
22/07/2024,923.25,923.97,925.53,920.08,3.22B,0.004
23/07/2024,923.26,926.34,927.17,919.59,14.07B,0
24/07/2024,917.17,920.15,923.48,915.04,4.09B,-0.0066
25/07/2024,916.16,917.75,918.31,908.84,2.79B,-0.0011
26/07/2024,920.39,920.55,924.16,918.8,2.37B,0.0046
29/07/2024,920.6,923.65,927.49,918,3.13B,0.0002
30/07/2024,910.76,919.88,920.54,908.98,2.98B,-0.0107
